A	C	G	S	#	File
 	X	 	 	1	adamantine helmet.png
 	X	 	 	1	adamantine katana.png
 	 	 	X	1	adamantine poleaxe.png
 	X	 	 	1	adamantine quarterstaff.png
 	X	 	 	1	adamantine shuriken.png
X	 	 	 	1	air.png
X	 	 	 	1	angel warrior.png
X	 	 	 	1	archeologist.png
 	 	 	X	1	ash elemental.png
X	 	 	 	1	assassin.png
 	 	 	X	1	astral dog.png
 	 	 	X	1	astral puppy.png
 	 	 	X	1	baby mimic.png
 	 	 	X	1	barbed ring.png
X	 	 	 	1	baseball bat.png
X	 	 	 	1	berserker.png
X	 	 	 	1	bishop.png
 	 	 	X	1	blink dog.png
 	 	 	X	1	blink puppy.png
 	 	 	X	1	buraq.png
X	 	 	 	1	bushi.png
 	 	 	X	1	candelabrum.png
 	 	 	X	1	Celestial Doom.png
 	 	 	X	1	Celestial Kismet.png
 	 	 	X	1	Celestial Portent.png
 	 	 	X	1	cherubim.png
X	 	 	 	1	chest.png
 	 	 	X	1	cloth shirt.png
X	 	 	 	1	cloud.png
 	 	 	X	1	crimson cloak.png
 	 	 	X	1	cyan jelly.png
 	 	 	X	1	darkstone.png
 	 	 	X	1	deep water.png
 	 	 	X	1	Demiurge.png
X	 	 	 	1	demon male valyrie.png
 	X	 	 	1	dirt corridor.png
 	X	 	 	1	doublet.png
 	 	 	X	1	dragon horn.png
 	 	 	X	1	drow mage.png
 	 	 	X	1	drow monk.png
 	 	 	X	1	drow priestess.png
 	 	 	X	1	drow thief.png
 	 	 	X	1	duck.png
 	X	 	 	1	dwarf male barbarian.png
 	X	 	 	1	dwarf male gunslinger.png
 	X	 	 	1	dwarf male monk.png
 	X	 	 	1	dwarf male samurai.png
 	X	 	 	1	earth mage.png
 	X	 	 	1	elf female explorer.png
 	X	 	 	1	elf male explorer.png
 	 	 	X	1	elven chakram.png
 	 	 	X	1	elven hand crossbow.png
 	 	 	X	1	energy elemental.png
 	 	 	X	1	eshim.png
 	 	 	X	1	eternity ring.png
 	 	 	X	1	explosive elemental.png
 	 	 	X	1	explosive sphere.png
 	 	 	X	1	fancy boots.png
 	 	 	X	1	female alchemist.png
X	 	 	 	1	female savage.png
 	X	 	 	1	flame mage.png
X	 	 	 	1	forked wand.png
 	 	 	X	1	frisbee.png
 	 	 	X	1	galgalim.png
 	 	 	X	1	General Breetai.png
X	 	 	 	1	giant hamster.png
 	 	 	X	1	glossy potion.png
 	 	 	X	1	gold axe.png
 	 	 	X	1	gold chakram.png
X	 	 	 	1	gold coin 1.png
X	 	 	 	1	gold coin 2.png
X	 	 	 	1	gold coin 3.png
X	 	 	 	1	gold coin 4.png
X	 	 	 	1	gold coin 5.png
X	 	 	 	1	gold coin 6.png
 	 	 	X	1	gold dagger.png
 	 	 	X	1	gold double vajra.png
 	 	 	X	1	gold flail.png
 	 	 	X	1	gold khanda.png
 	 	 	X	1	gold labrys.png
 	 	 	X	1	gold longsword.png
 	 	 	X	1	gold plate mail.png
 	 	 	X	1	gold single vajra.png
 	 	 	X	1	gold spade.png
 	 	 	X	1	gold trident.png
 	 	 	X	1	gold twohanded sword.png
 	 	 	X	1	gold urumi.png
 	 	 	X	1	gold whistle.png
 	X	 	 	1	grand stairs down.png
 	X	 	 	1	grand stairs up.png
 	 	 	X	1	grave mimic.png
 	 	 	X	1	green jelly.png
 	 	 	X	1	Gungir.png
 	 	 	X	1	hag.png
 	X	 	 	1	halfling female caveman.png
 	X	 	 	1	halfling male caveman.png
 	 	 	X	1	humantrap.png
 	X	 	 	1	ice mage.png
 	 	 	X	1	ink pool.png
 	 	 	X	1	ink strike.png
 	 	 	X	1	jackinthebox_closed.png
 	 	 	X	1	jackinthebox_dab.png
 	 	 	X	1	jackinthebox_glove.png
 	 	 	X	1	jackinthebox_open.png
 	 	 	X	1	jackinthebox_pie.png
 	 	 	X	1	juggling club 1.png
 	 	 	X	1	juggling club 2.png
 	 	 	X	1	juggling club 3.png
 	 	 	X	1	juggling club 4.png
 	 	 	X	1	khaki potion.png
 	 	 	X	1	khopesh artifact.png
 	 	 	X	1	khopesh.png
 	X	 	 	1	Krull.png
X	 	 	 	1	large box.png
 	X	 	 	1	lattice floor.png
X	 	 	 	1	lefthanded book.png
X	 	 	 	1	mail daemon.png
 	 	 	X	1	male alchemist.png
X	 	 	 	1	male savage.png
X	 	 	 	1	marble floor2.png
 	 	 	X	1	Merdude.png
 	 	 	X	1	midnight jelly.png
 	 	 	X	1	mimic.png
 	 	 	X	1	mirror.png
 	 	 	X	1	mithril gauntlets.png
 	 	 	X	1	mithril greatmace.png
 	X	 	 	1	mithril hatchet.png
 	 	 	X	1	mithril poleaxe.png
 	 	 	X	1	mooshroom.png
 	 	 	X	1	mystical dragon.png
X	 	 	 	1	noble elf.png
 	 	 	X	1	Nonagon Infinity.png
X	 	 	 	1	nun.png
 	 	 	X	1	Nymph Princess.png
 	 	 	X	1	orc thief.png
 	 	 	X	1	orcish chakram.png
X	 	 	 	1	pill.png
X	 	 	 	1	pine wand.png
 	 	 	X	1	plastic bat.png
 	 	 	X	1	plastic hammer.png
 	 	 	X	1	plastic wand.png
 	 	 	X	1	platonics air.png
 	 	 	X	1	platonics dark.png
 	 	 	X	1	platonics earth.png
 	 	 	X	1	platonics fire.png
 	 	 	X	1	platonics light.png
 	 	 	X	1	platonics sky.png
 	 	 	X	1	platonics water.png
X	 	 	 	1	psychedelic book.png
 	 	 	X	1	red jelly.png
 	 	 	X	1	rose axe.png
 	 	 	X	1	rose battleaxe.png
 	 	 	X	1	rose bident.png
 	 	 	X	1	rose dagger.png
 	 	 	X	1	rose greatsword.png
 	 	 	X	1	rose hatchet.png
 	 	 	X	1	rose long sword.png
 	 	 	X	1	rose rapier.png
 	 	 	X	1	rose ring.png
 	 	 	X	1	rose sabre.png
 	 	 	X	1	rose short sword.png
 	 	 	X	1	rose spear.png
 	 	 	X	1	Runicorn.png
 	 	 	X	1	sarcophagus used.png
 	 	 	X	1	seraphim.png
X	 	 	 	1	shaolin monk.png
 	 	 	X	1	Shillelagh.png
 	 	 	X	1	silly wand.png
 	 	 	X	1	silver golem.png
 	 	 	X	1	sling staff.png
 	 	 	X	1	sonic elemental.png
 	 	 	X	1	sonic sphere.png
 	 	 	X	1	Soul Summoner.png
X	 	 	 	1	spiralbound book.png
X	 	 	 	1	stapled book.png
 	 	 	X	1	statue trap.png
X	 	 	 	1	strange object.png
 	 	 	X	1	Sudarshana Chakra.png
 	X	 	 	1	tabard.png
X	 	 	 	1	tartan book.png
X	 	 	 	1	temptress.png
X	 	 	 	1	thief.png
 	 	 	X	1	tin golem.png
X	 	 	 	1	toilet.png
X	 	 	 	1	traveller.png
 	 	 	X	1	travertine floor.png
 	 	 	X	1	treant 1.png
 	 	 	X	1	treant 2.png
 	 	 	X	1	triplesword.png
 	 	 	X	1	Vajra.png
 	X	 	 	1	war maul.png
 	X	 	 	1	water mage.png
 	 	 	X	1	wind sphere.png
X	 	 	 	1	wood panel bottom left corner.png
X	 	 	 	1	wood panel bottom right corner.png
X	 	 	 	1	wood panel cross.png
X	 	 	 	1	wood panel horizontal.png
X	 	 	 	1	wood panel tee down.png
X	 	 	 	1	wood panel tee left.png
X	 	 	 	1	wood panel tee right.png
X	 	 	 	1	wood panel tee up.png
X	 	 	 	1	wood panel top left corner.png
X	 	 	 	1	wood panel top right corner.png
X	 	 	 	1	wood panel vertical.png
 	X	 	 	1	wooden stool.png
 	X	 	 	1	wooden table.png
 	X	 	 	1	wooden wall bottom left corner.png
 	X	 	 	1	wooden wall bottom right corner.png
 	X	 	 	1	wooden wall cross.png
 	X	 	 	1	wooden wall end down.png
 	X	 	 	1	wooden wall end left.png
 	X	 	 	1	wooden wall end right.png
 	X	 	 	1	wooden wall end up.png
 	X	 	 	1	wooden wall horizontal.png
 	X	 	 	1	wooden wall pillar.png
 	X	 	 	1	wooden wall tee down.png
 	X	 	 	1	wooden wall tee left.png
 	X	 	 	1	wooden wall tee right.png
 	X	 	 	1	wooden wall tee up.png
 	X	 	 	1	wooden wall top left corner.png
 	X	 	 	1	wooden wall top right corner.png
 	X	 	 	1	wooden wall vertical.png
 	 	 	X	1	yoyo.png
 	 	 	X	1	zombietree.png
 	X	 	 	1	Zweihander.png
